0,0,1,40
1,0,20,20
2,0,19,51
3,0,18,117
4,0,17,199
5,0,16,271
6,0,15,320
7,0,14,412
8,0,13,439
9,0,12,446
10,1,0,40
11,1,2,39
12,1,20,32
13,1,19,19
14,1,18,77
15,1,17,159
16,1,16,231
17,1,15,280
18,1,14,372
19,1,13,399
20,1,12,406
21,2,1,39
22,2,3,38
23,2,20,69
24,2,19,34
25,2,18,40
26,2,17,121
27,2,16,192
28,2,15,241
29,2,14,333
30,2,13,360
31,2,12,367
32,3,2,38
33,3,4,39
34,3,20,106
35,3,19,70
36,3,18,17
37,3,17,83
38,3,16,154
39,3,15,203
40,3,14,295
41,3,13,322
42,3,12,329
43,4,3,39
44,4,5,38
45,4,20,145
46,4,19,108
47,4,18,43
48,4,17,46
49,4,16,116
50,4,15,164
51,4,14,256
52,4,13,283
53,4,12,290
54,5,4,38
55,5,6,40
56,5,20,182
57,5,19,145
58,5,18,79
59,5,17,17
60,5,16,78
61,5,15,127
62,5,14,218
63,5,13,245
64,5,12,252
65,6,5,40
66,6,7,40
67,6,20,222
68,6,19,185
69,6,18,119
70,6,17,38
71,6,16,40
72,6,15,87
73,6,14,178
74,6,13,205
75,6,12,212
76,7,6,40
77,7,8,40
78,7,20,262
79,7,19,225
80,7,18,158
81,7,17,76
82,7,16,17
83,7,15,49
84,7,14,139
85,7,13,165
86,7,12,172
87,8,7,40
88,8,9,35
89,8,20,302
90,8,19,265
91,8,18,198
92,8,17,116
93,8,16,46
94,8,15,18
95,8,14,99
96,8,13,126
97,8,12,132
98,9,8,35
99,9,10,39
100,9,20,337
101,9,19,300
102,9,18,233
103,9,17,150
104,9,16,79
105,9,15,33
106,9,14,65
107,9,13,91
108,9,12,97
109,10,9,39
110,10,11,50
111,10,20,376
112,10,19,339
113,10,18,272
114,10,17,189
115,10,16,118
116,10,15,70
117,10,14,29
118,10,13,53
119,10,12,58
120,11,10,50
121,11,20,426
122,11,19,389
123,11,18,322
124,11,17,239
125,11,16,168
126,11,15,120
127,11,14,39
128,11,13,30
129,11,12,18
130,12,11,18
131,12,10,58
132,12,9,97
133,12,8,132
134,12,7,172
135,12,6,212
136,12,5,252
137,12,4,290
138,12,3,329
139,12,2,367
140,12,1,406
141,12,13,15
142,12,14,36
143,12,15,126
144,12,16,175
145,12,17,247
146,12,18,330
147,12,19,397
148,12,20,434
149,13,14,27
150,13,12,15
151,13,11,30
152,13,10,53
153,13,9,91
154,13,8,126
155,13,7,165
156,13,6,205
157,13,5,245
158,13,4,283
159,13,3,322
160,13,2,360
161,13,1,399
162,14,13,27
163,14,12,36
164,14,11,39
165,14,10,29
166,14,9,65
167,14,8,99
168,14,7,139
169,14,6,178
170,14,5,218
171,14,4,256
172,14,3,295
173,14,2,333
174,14,1,372
175,15,14,92
176,15,16,49
177,15,12,126
178,15,11,120
179,15,10,70
180,15,9,33
181,15,8,18
182,15,7,49
183,15,6,87
184,15,5,127
185,15,4,164
186,15,3,203
187,15,2,241
188,15,1,280
189,16,15,49
190,16,17,72
191,16,12,175
192,16,11,168
193,16,10,118
194,16,9,79
195,16,8,46
196,16,7,17
197,16,6,40
198,16,5,78
199,16,4,116
200,16,3,154
201,16,2,192
202,16,1,231
203,17,16,72
