000,000,1134,819,ZN6-12,6
001,001,1094,819,ZN6-11,6
002,002,1055,819,ZN6-10,6
003,003,1017,819,ZN6-09,6
004,004,978,819,ZN6-08,6
005,005,940,819,ZN6-07,6
006,006,900,819,ZN6-06,6
007,007,860,819,ZN6-05,6
008,008,820,819,ZN6-04,6
009,009,785,819,ZN6-03,6
010,010,746,819,ZN6-02,6
011,011,697,806,ZN6-01,6
012,,688,822,ZNConn,6
013,013,695,836,ZN6-13,6
014,014,722,836,ZN6-14,6
015,015,814,836,ZN6-18,6
016,016,863,836,ZN6-19,6
017,017,935,836,ZN6-20,6
018,018,1018,836,ZN6-21,6
019,019,1085,836,ZN6-22,6
020,020,1122,836,ZN6-23,6
021,,580,825,Z6NEConn,6
022,,531,864,Z6Center,6
023,,578,924,Z6NOConn,6
024,,578,1028,Z6OConn,6
025,025,581,1119,ZO6-01,6
026,026,583,1158,ZO6-02,6
027,027,591,1194,ZO6-03,6
028,028,593,1297,ZO6-04,6
029,029,595,1400,ZO6-05,6
030,030,577,1349,ZO6-06,6
031,031,565,1195,ZO6-08,6
032,032,565,1041,ZO6-10,6
033,,480,824,Z6SWConn,6
034,,380,846,Z6SConn,6
035,035,350,890,ZS6-01,6
036,,124,859,ZS6Helper1,6
037,037,130,897,ZS6-02,6
038,038,130,926,ZS6-03,6
039,039,112,896,ZS6-04,6
040,040,127,831,ZS6-06,6
041,041,88,830,ZS6-05,6
042,042,166,858,Grundlagenlabor,6
043,,356,869,ZS6Helper2,6
044,044,350,838,ZS6-08,6
045,045,360,821,ZS6-09,6
046,,502,727,ZWConn,6
047,047,484,701,ZW6-16,6
048,,509,520,ZWHelper1,6
049,049,475,524,ZW6-18,6
050,050,471,520,ZW6-17,6
051,051,476,509,ZW6-16,6
052,,510,451,ZWHelper2,6
053,,514,320,ZWHelper3,6
054,054,475,332,ZW6-15,6
055,055,471,328,ZW6-14,6
056,056,474,314,ZW6-13,6
057,,510,234,ZWHelper4,6
058,058,471,226,ZW6-12,6
059,059,471,188,ZW6-11,6
060,,485,79,ZW6Helper5,6
061,,529,48,ZWElev,6
062,,579,76,ZWHelper6,6
063,063,581,192,ZW6-09,6
064,064,581,227,ZW6-08,6
065,065,580,299,ZW6-07,6
066,066,585,300,ZW6-06,6
067,067,581,319,ZW6-05,6
068,068,579,442,ZW6-04,6
069,069,586,447,ZW6-03,6
070,070,580,460,ZW6-02,6
071,071,533,701,ZW6-01,6
072,072,704,805,ZN7-01,7
073,073,742,805,ZN7-02,7
074,074,784,805,ZN7-03,7
075,075,837,805,ZN7-04,7
076,076,889,805,ZN7-05,7
077,077,948,805,ZN7-06,7
078,078,996,805,ZN7-07,7
079,079,1049,805,ZN7-08,7
080,080,1066,821,ZN7-09,7
081,081,1024,821,ZN7-09a,7
082,082,984,821,ZN7-09b,7
083,083,944,821,ZN7-10,7
084,084,890,821,ZN7-11,7
085,085,850,821,ZN7-12,7
086,086,798,821,ZN7-14,7
087,087,746,821,ZN7-15,7
088,088,732,821,ZN7-15a,7
089,089,695,821,ZN7-16,7
090,,672,814,ZN7Conn,7
091,,574,814,ZNW7,7
092,,526,859,Z7Center,7
093,,573,907,ZON7,7
094,,574,1014,ZO7Conn,7
095,095,577,1034,ZO7-06,7
096,096,577,1191,ZO7-05,7
097,097,577,1324,ZO7-04,7
